Text,True_Label,Predicted_Label,MuRIL_Prob,XLM_Prob,Ensemble_Prob,Model_Disagreement,Error_Type,Raw_Confidence
tumhari jitni pilai hogi utna hi achcha hai,1,0,0.0032,0.0008,0.002,False,False Negative (Missed Hate),0.998
shuld exist,1,0,0.0029,0.001,0.002,False,False Negative (Missed Hate),0.998
the tag what a slut carries the definition of something and which can clearly be defined as an expression of similar personal point of view of the individual who has written such a sentence last friday with explicit reference as or smirk,1,0,0.0033,0.0007,0.002,False,False Negative (Missed Hate),0.998
महाराष्ट्रातील देशद्रोह्यांना महाराष्ट्रातील नागरिक ओळखतात आणि महाराष्ट्राला पाकिस्तान म्हणून संबोधणा व्यक्तीचे समर्थन करतात,1,0,0.0029,0.0011,0.002,False,False Negative (Missed Hate),0.998
jaat,1,0,0.0032,0.0008,0.002,False,False Negative (Missed Hate),0.998
also karo is in japan,1,0,0.0029,0.001,0.002,False,False Negative (Missed Hate),0.998
abe jahil anbakhto sarkar to banne do pehle kuch b post kiya aankh band krke aajate us topic pe tipniya dene,1,0,0.0033,0.0007,0.002,False,False Negative (Missed Hate),0.998
dhruv rathi ki ma ki ch....,1,0,0.0029,0.001,0.002,False,False Negative (Missed Hate),0.998
ek laapa sahi se pad jaay na fir dubara galti nhi kregi ye,1,0,0.0029,0.0011,0.002,False,False Negative (Missed Hate),0.998
वेटर बहोत बदमाश है सबको परिसान करता है,1,0,0.0032,0.0009,0.002,False,False Negative (Missed Hate),0.998
ref,1,0,0.0033,0.0007,0.002,False,False Negative (Missed Hate),0.998
aap to pura family ko le.dube bhaiya ji ....but koe nhi hm sab aap ke sath h ....,1,0,0.003,0.001,0.002,False,False Negative (Missed Hate),0.998
friendly,1,0,0.0031,0.0011,0.0021,False,False Negative (Missed Hate),0.9979
क्या कोई बात सकता है ''भारत के टुकड़े टुकड़े करने वाला ठीक है ''??? #कन्हैया_कुमार #kanhaiyakumar #modiphirse #modiaagaya #tukdetukdegang #electionresults2019,1,0,0.0032,0.001,0.0021,False,False Negative (Missed Hate),0.9979
"कर्ज के कारण एक ही परिवार के चार सदस्यों ने फांसी लगाकर आत्महत्या कर ली, मृतक ममता सोनी, भरत सोनी, अजीत सोनी और यशवंत सोनी। क्या आप ऐसा नया भारत बनाना चाहते हैं? सरकार की गलत नीतियों के कारण लोग अपनी जान गंवा रहे हैं। link",1,0,0.0032,0.0011,0.0021,False,False Negative (Missed Hate),0.9979
kya sab kisan bhai kcsath aap yahi karegi??,1,0,0.0029,0.0013,0.0021,False,False Negative (Missed Hate),0.9979
nava pramane dokyat andharach aahe,1,0,0.0033,0.0009,0.0021,False,False Negative (Missed Hate),0.9979
victory for beaner,1,0,0.0031,0.0012,0.0021,False,False Negative (Missed Hate),0.9979
dalindar,1,0,0.0032,0.001,0.0021,False,False Negative (Missed Hate),0.9979
कभी खडा रहा है के साथ क्या कहते है अैसो से,1,0,0.0031,0.0012,0.0021,False,False Negative (Missed Hate),0.9979
look over ds theme precious stone maraud please,1,0,0.0034,0.0008,0.0021,False,False Negative (Missed Hate),0.9979
"dadhi wale baba gc hai, unko kuch samjhta nahi hai :p:p:ppura din bus bhagwa-bhagwa kiya karta hai :p:p:p",1,0,0.0036,0.0006,0.0021,False,False Negative (Missed Hate),0.9979
agha rade dhana padla tujaha radha tu radhi cha ahe,1,0,0.0032,0.0009,0.0021,False,False Negative (Missed Hate),0.9979
why did you get rights,1,0,0.003,0.0011,0.0021,False,False Negative (Missed Hate),0.9979
bhajiye,1,0,0.003,0.0012,0.0021,False,False Negative (Missed Hate),0.9979
बटाला ब्लास्ट वीडियो,1,0,0.0029,0.0013,0.0021,False,False Negative (Missed Hate),0.9979
above should stay at home,1,0,0.0037,0.0007,0.0022,False,False Negative (Missed Hate),0.9978
ladkiyon ko yehi to badhwa pasand aate he,1,0,0.0036,0.0008,0.0022,False,False Negative (Missed Hate),0.9978
beggar pussy india,1,0,0.0033,0.001,0.0022,False,False Negative (Missed Hate),0.9978
you are final on that point,1,0,0.0036,0.0009,0.0022,False,False Negative (Missed Hate),0.9978
morning sound great rain man,1,0,0.003,0.0015,0.0022,False,False Negative (Missed Hate),0.9978
this letterbox sitting in front of me is shit,1,0,0.0032,0.0012,0.0022,False,False Negative (Missed Hate),0.9978
codo codo,1,0,0.0029,0.0015,0.0022,False,False Negative (Missed Hate),0.9978
"राहत इंदौरी ने बोला #हिंदुस्तान किसी के बाप का थोड़ी है, तो खुश हो गए #कंगना ने बोला #मुम्बई किसी के बाप की नहीं, तो पिछवाड़े में जलन होने लगी #कुत्तों #kanganavssena link",1,0,0.0036,0.0007,0.0022,False,False Negative (Missed Hate),0.9978
this lmfaoo my loudly crying pretty face bitch,1,0,0.0032,0.0012,0.0022,False,False Negative (Missed Hate),0.9978
राहत इंदौरी ने बोला किसी के बाप का थोड़ी है तो खुश हो गए ने बोला किसी के बाप की नहीं तो पिछवाड़े में जलन होने लगी,1,0,0.0034,0.001,0.0022,False,False Negative (Missed Hate),0.9978
link बुद्ध नगरी है.. इस वीडियो में देखें हर जगह बुद्ध ही बुद्ध है। राम नाम कहीं नहीं मिल रहा है #postmortemoframmandir,1,0,0.0036,0.0008,0.0022,False,False Negative (Missed Hate),0.9978
tu la palt karun….. kel,1,0,0.003,0.0014,0.0022,False,False Negative (Missed Hate),0.9978
etc,1,0,0.0032,0.0013,0.0023,False,False Negative (Missed Hate),0.9977
मई तुम्हे थप्पड़ मार न चाहता हु,1,0,0.0032,0.0015,0.0023,False,False Negative (Missed Hate),0.9977
"11 पाकिस्तानी हिंदू विस्थापितों की मौत: isi का हाथ, इस्लाम कबूल करवाने की साजिश या लोकल माफिया? link",1,0,0.0031,0.0014,0.0023,False,False Negative (Missed Hate),0.9977
ara lwara mara,1,0,0.0034,0.0011,0.0023,False,False Negative (Missed Hate),0.9977
bahar bachha sulla ke rakha hai ko uttha le gaya toh,1,0,0.0029,0.0018,0.0023,False,False Negative (Missed Hate),0.9977
no n goers welcome at my party,1,0,0.003,0.0017,0.0023,False,False Negative (Missed Hate),0.9977
ajd office jumanji award probate objaviti award new judge position vilest of bar probate,1,0,0.0036,0.001,0.0023,False,False Negative (Missed Hate),0.9977
aadmi sarif h varna japat khati,1,0,0.0041,0.0007,0.0024,False,False Negative (Missed Hate),0.9976
this how it is done rrigan on the record harrigan reporting acc on the record sho ws new,1,0,0.0041,0.0006,0.0024,False,False Negative (Missed Hate),0.9976
enke behen ke chuuuu,1,0,0.0037,0.0012,0.0024,False,False Negative (Missed Hate),0.9976
neech,1,0,0.0029,0.0019,0.0024,False,False Negative (Missed Hate),0.9976
gali gali halla h sudhir chaudhary dallla h,1,0,0.0029,0.0019,0.0024,False,False Negative (Missed Hate),0.9976
जिसको शोहरत मुंबई ने दी जिसको इज्जत मुंबई ने दी जिसको पहचान मुंबई ने दी वह मुंबई को पाकिस्तान कह रही है कल अपनी माँ से ठन गई तो अपनी मां पर भी पाकिस्तानी होने का आरोप लगा सकती है जी चा कसे आहे गाढ़वाला गुलाची काय चव अस आहे कंगवीचा,1,0,0.003,0.0019,0.0024,False,False Negative (Missed Hate),0.9976
vijay shankar को टीम से नहीं निकाला तो वो टीम को टूर्नामेंट से ही निकलवा देगा #indvswi,1,0,0.0037,0.001,0.0024,False,False Negative (Missed Hate),0.9976
"jai bhim. namah shivaya . people will have to go out in the scorching heat and vote for bjp for the sake of progressive and a safe bharat if not for themselves then at least for their family's and children's good future . bharat mata ki jai. jai hind.. always vote for bjp for the progress and benefit of bharat .indian economy progressed a lot in bjp rule. india's forex reserves has reached $600bn. indian military has become a lot stronger in bjp rule, india has become world's 5th largest economy defeating it's colonisers england and france. india successfully completed it's chandrayan 3 mission. bjp abolished the article 370 and made kashmir integral part of bharat. terrorist attack are at an all time low. bharat is hosting g20 meeting for the first time in world history. indian military is at a strong position against china and pakistan. as long as bjp is in power in centre, bharat will be safe from its enemies not only outside of the country but also inside the country and our bharat will keep on progressing. and decisions which are good for the country will always be taken because economy and security of the country are always changing, so whatever decision is in the best interest of the country will be taken. some decisions may be wrong and some decisions may be right, but bjp is not like those pseudo seculars and liberal english party congress or those stupid leftists cpim. aap party is a party of leeches who will even sell the country to stay in power. the i.n.d.i.a alliance is a joke.the frustrated corrupt political parties have lost all hope of winning elections against bjp so they have formed the i.n.d.i.a alliance to together loot the country as much as they can, so never vote for any party associated with i.n.d.i.a alliance. bjp is a party whose ideology and work is totally invested for the benefit of bharat and bjp is slowly trying to eradicate caste system differences. more power to bjp. har har mahadev ....",1,0,0.004,0.0008,0.0024,False,False Negative (Missed Hate),0.9976
userpchs and is code name from d code,1,0,0.0039,0.0009,0.0024,False,False Negative (Missed Hate),0.9976
"""अल्लाह के घर देर है अंधेर नही"" रंजन गोगोई #corona positive",1,0,0.0035,0.0013,0.0024,False,False Negative (Missed Hate),0.9976
to ask what subsection you were referring to,1,0,0.0032,0.0016,0.0024,False,False Negative (Missed Hate),0.9976
tu kiti javadi ahe mahit ahe,1,0,0.0037,0.0011,0.0024,False,False Negative (Missed Hate),0.9976
"अनपढ़ मेरे #गाँव का, #गाय चराबन जाए। पढ़ा-लिखा तेरे #शहर का, #कुत्ते को टहलाये। link …",1,0,0.0036,0.0013,0.0024,False,False Negative (Missed Hate),0.9976
kongres sutiya,1,0,0.0033,0.0017,0.0025,False,False Negative (Missed Hate),0.9975
भाई भाई कितना बकचोद मैच चल रहा हैं,1,0,0.0037,0.0012,0.0025,False,False Negative (Missed Hate),0.9975
help this historian now thinks that sanhedrin is closer to natural karma than to each he is also seeing a fusion of each and natural karma since both oppose the state i tried to clarify it giving some examples of the thought of no kidding and each without naming either and what is his conclusion the press releases of the sanhedrin so far are more like nk please please try to explain to him that i am right how do you explain jewish politics to somebody with the brain of a fish talk,1,0,0.0037,0.0014,0.0025,False,False Negative (Missed Hate),0.9975
awww raise cache i sarah she is holding his finger loudly crying face smiling face with heart eyeshugging face,1,0,0.0034,0.0016,0.0025,False,False Negative (Missed Hate),0.9975
and stop writing to be a crybaby you probably messed the article with the wrong information fix it this topic is bolivia not brazil,1,0,0.0033,0.0016,0.0025,False,False Negative (Missed Hate),0.9975
ran...........................,1,0,0.0037,0.0013,0.0025,False,False Negative (Missed Hate),0.9975
not applicable jim is ti drama,1,0,0.0031,0.0019,0.0025,False,False Negative (Missed Hate),0.9975
jitke ram bhakt ahe t na aplya hindu mdhe tevde tujha senet pn nasnar hepre tya may chi pudi......,1,0,0.0031,0.0022,0.0026,False,False Negative (Missed Hate),0.9974
ma thank you is material so,1,0,0.0043,0.001,0.0026,False,False Negative (Missed Hate),0.9974
is neither more historically correct nor more professional scholars routinely use the term you cite the encyclopedia britannia as evidence of your claim but in fact the encyclopedia britannica uses nazi an order of magnitude more often than national socialism in the online version of the encyclopedia there are references to nazi and only references to and in the title of the entry for they write called nazism or your claim that use of the term is amateurish is a slur on the overwhelming majority of scholars who often use the term the claim that is a lie and correct is inconsistent with the fact that the two phrases are synonymous and while it is true that can be used as an epithet so can do you also recommend that wikipedia refrain from using it means cool a k a b describe dogs it is interesting that you use liner as support for your argument the further passage that you link it is the explanation by liner as to why he will use the term rather than defend his book i fail to see why this is evidence that wikipedia should feel the opposite i am curious about my statement that use of the term nazi arises from a deeper intent by political opponents to give a skewed view of their politics what part of nazi politics did you feel has been skewed by their political opponents,1,0,0.0035,0.0016,0.0026,False,False Negative (Missed Hate),0.9974
sada ate naiad bean,1,0,0.0029,0.0024,0.0026,False,False Negative (Missed Hate),0.9974
i will vandalize your page,1,0,0.0035,0.0016,0.0026,False,False Negative (Missed Hate),0.9974
did not believe that hype,1,0,0.0034,0.0019,0.0026,False,False Negative (Missed Hate),0.9974
vahiyaat,1,0,0.0031,0.0022,0.0026,False,False Negative (Missed Hate),0.9974
"कुरान में वंदेमातरम बोलना नहीं लिखा है चलो ठीक है तो कुरान में इलेक्शन लड़ना, mp बनना कहां लिखा है?",1,0,0.0035,0.0016,0.0026,False,False Negative (Missed Hate),0.9974
r india is exclusively dominated by liberals i feel better on r hinduism and r religion wink or smirk,1,0,0.0038,0.0015,0.0026,False,False Negative (Missed Hate),0.9974
vlatko male fire angel 2 applicable poseidon sopranos 1 bicarb 3 men,1,0,0.0045,0.0007,0.0026,False,False Negative (Missed Hate),0.9974
tumko. sodu,1,0,0.0031,0.0024,0.0027,False,False Negative (Missed Hate),0.9973
tu ratri kuthe kuthe firti lokana mahiti ahe. tujhi layki... zvdiii,1,0,0.0032,0.0021,0.0027,False,False Negative (Missed Hate),0.9973
isko hyderabad me nanga karvao,1,0,0.0029,0.0025,0.0027,False,False Negative (Missed Hate),0.9973
"किसी व्यक्ति को पेड़ से बांधकर ईंट-पत्थर, डंडों से मारो, अगर वो मर गया तो गलती उसके कमजोर 'दिल' की है। link",1,0,0.0048,0.0007,0.0027,False,False Negative (Missed Hate),0.9973
yar ap rape to pehle band karo os ky bad baat karna,1,0,0.0046,0.0007,0.0027,False,False Negative (Missed Hate),0.9973
if you do a search for with the name marks you will find those facts and also notice how intent some eds and ads at wiki are at eliminating and blocking all my contributions hence my web log titled from wikipedia do your homework before acting like another waikiki ok,1,0,0.0042,0.0013,0.0027,False,False Negative (Missed Hate),0.9973
"bhaiya, innke kaale chitthe ke panne kholenge ko inn ko nanga rehna padega!",1,0,0.0029,0.0025,0.0027,False,False Negative (Missed Hate),0.9973
khota,1,0,0.0038,0.0016,0.0027,False,False Negative (Missed Hate),0.9973
brokeback mountain what a slut a beautiful motion picture,1,0,0.0046,0.0009,0.0027,False,False Negative (Missed Hate),0.9973
nd fans be adjudicate,1,0,0.0035,0.0019,0.0027,False,False Negative (Missed Hate),0.9973
पब्जी वालो अब वो गेम तो बैन हो गई पर इधर लिबरलचमचो पे ढाय ढाय करते रहनादिल को सुकून और पुण्य दोनो साथ मे मिलेगा,1,0,0.003,0.0025,0.0027,False,False Negative (Missed Hate),0.9973
brand ambassador of mountain dew,1,0,0.0043,0.0013,0.0028,False,False Negative (Missed Hate),0.9972
i would like to ask the government that they have all the love for muslim women. why don't they have the same sentiment for hindu women of kerala?,1,0,0.0037,0.0019,0.0028,False,False Negative (Missed Hate),0.9972
you currently appear to be engaged in an edit war according to the reverts you have made on srebrenica massacre users who edit disruptively or refuse to collaborate with others be blocked if they continue in particular the three revert rule states that making more than three reversions on a single page within a hour period is almost always grounds for an immediate block if you find yourself in an editing dispute use the talk page to discuss controversial changes work towards wording and content that gains consensus among editors if unsuccessful then do not edit war even if you believe you are right post a request for help at an appropriate noticeboard or seek dispute resolution in some cases it be appropriate to request temporary page protection if edit warring continues you be blocked from editing without further notice please do not attack other editors as you did at srebrenica massacre comment on content not on contributors personal attacks damage the community and deter users please stay cool and keep this in mind while editing thank you talk you first piss off a user and then pretend to advise that user on how detrimental being pissed off is wow i am so pissed i am so i am soon fuck off pig now that what a slut quite polite of me you got to admit it or what a slut it is not good enough for sophisticated ears of an average warmongering anglo serb freemason who thinks everyone is buying his bullshit laughing out loud,1,0,0.0038,0.0017,0.0028,False,False Negative (Missed Hate),0.9972
koi isko marwa do yaar,1,0,0.0048,0.0008,0.0028,False,False Negative (Missed Hate),0.9972
no too bad for you i am going to go spread misinformation and falsehood by vandalizing more wikipedia pages,1,0,0.0033,0.0023,0.0028,False,False Negative (Missed Hate),0.9972
कृपया आवश्यक वैधानिक कार्यवाही करें।,1,0,0.0037,0.0019,0.0028,False,False Negative (Missed Hate),0.9972
साल की उम्र पार कर चुके बिहार पुलिस के जवानों के कामकाज की होगी समीक्षा विभाग ने जारी किया आदेश रिपोर्टः,1,0,0.0035,0.0021,0.0028,False,False Negative (Missed Hate),0.9972
औलादों को जब धर्म का कीड़ा खा जाऐ तो बुजुर्गो को मैदान में उतरना पड़ता है।। #किसान_आंदोलन #हम_किसान_के_साथ_है #17सितम्बर_राष्ट्रीय_बेरोजगार_दिवस link,1,0,0.0047,0.0008,0.0028,False,False Negative (Missed Hate),0.9972
do you need some soda in your car on call bot soccer match homeboy match utc,1,0,0.0048,0.0007,0.0028,False,False Negative (Missed Hate),0.9972
do nothing + dar ki maa ki cutuu = this khatron ke khiladi,1,0,0.0029,0.0027,0.0028,False,False Negative (Missed Hate),0.9972
stop crying i cannot be ashamed of your official formal name is fyrom but i is on the chart on propaganda and misrepresentation of history,1,0,0.0037,0.002,0.0028,False,False Negative (Missed Hate),0.9972
"dhruv rathee abhi tak aapne keval , modi ke bayan ko sab ke samne rakha , good lekin aapne ne kon sa sahi bayan diya hai, maine ek nahi kai vedio dekhi , jisme aap galt fact dikha kar logo ko gumrah kar rahe hai, aap apna khud se majak mana rahe hai, aap ko lagta hai , koi bhi galt proof dikha kar logo ko phadka denge, aap se bhi veer log pade hai india me, aap jo dikhao sach dikhao , chhut kyo",1,0,0.0045,0.001,0.0028,False,False Negative (Missed Hate),0.9972
hi dandevali distey,1,0,0.0029,0.0027,0.0028,False,False Negative (Missed Hate),0.9972
"दिल्ली की कई जगहों में सीवर वाला गंदा पानी आ रहा है, केजरीवाल जनता को बताएँ कि उन्होंने इस पर क्या क़दम उठाया- श्री",1,0,0.0047,0.0009,0.0028,False,False Negative (Missed Hate),0.9972
एनसीबी ऑफिस पहुंची रिया चक्रवर्ती,1,0,0.0029,0.0028,0.0029,False,False Negative (Missed Hate),0.9971
चांदनी चौक बना जम्मू कश्मीर चांदनी चौक में पत्थरबाजों की पत्थरबाजी #चांदनी चौक #दिल्ली #पत्थरबाज,1,0,0.0031,0.0027,0.0029,False,False Negative (Missed Hate),0.9971
i am all disabled youtube,1,0,0.004,0.0019,0.0029,False,False Negative (Missed Hate),0.9971
tu kshla video bnvun shivya dyachya mg ganya mde murkha ata bs bomlat,1,0,0.0044,0.0014,0.0029,False,False Negative (Missed Hate),0.9971
damn the art what is it with all these wiki admins and them not well able who follow rules and policies such as the laws and rules pertaining for vandalism if anyone knows how i can get in touch directly with senior admins i would greatly appreciate it as some admins just throw their owns rules up on this spot while disobeying wikipedia rules and effectively slamming ban hammers and nails i am not talking about all admins but it was talking about quite a few admins,1,0,0.0035,0.0023,0.0029,False,False Negative (Missed Hate),0.9971
do not mess with my page at all,1,0,0.0037,0.002,0.0029,False,False Negative (Missed Hate),0.9971
mountain dew brand ambassador,1,0,0.0049,0.0012,0.003,False,False Negative (Missed Hate),0.997
roeselare as it is so wrong and is wrong in the left,1,0,0.0038,0.0023,0.003,False,False Negative (Missed Hate),0.997
yachi charbi sagli baher kadhli pahije. changla hanla pahije,1,0,0.003,0.003,0.003,False,False Negative (Missed Hate),0.997
bet me glad you did not possess the balls to learn their real abilities but look like such a sweet ass now with vigilant bonuses on multiplayer link,1,0,0.0045,0.0015,0.003,False,False Negative (Missed Hate),0.997
suspects it later charged one of the fear of the police if and what a slut a different county that would as happened check previous videos by projects vandal drive keeps on reverting death fan encouraged readers correct this bio but not remove facts,1,0,0.0046,0.0014,0.003,False,False Negative (Missed Hate),0.997
but not be advised to adopt,1,0,0.0035,0.0026,0.003,False,False Negative (Missed Hate),0.997
holy christ edits taking up life red,1,0,0.0048,0.0012,0.003,False,False Negative (Missed Hate),0.997
while academic system i classes are of marxist invention the red bolsheviks are using this to render our people in older words divide each imperf,1,0,0.0046,0.0014,0.003,False,False Negative (Missed Hate),0.997
ila dalindar la rastyavar jalun taka lagte,1,0,0.0029,0.0032,0.003,False,False Negative (Missed Hate),0.997
haathi,1,0,0.0044,0.0016,0.003,False,False Negative (Missed Hate),0.997
बाग में धरने पर बैठी महिलाएं गर्भवती हुई ये सब धरने पर बैठी थी या आबादी बढ़ाओ मुहिम पर,1,0,0.003,0.0031,0.003,False,False Negative (Missed Hate),0.997
rt : भारत को पाकिस्तान कहा था तो अब दर्द क्यों..? लो बना दिया पाकिस्तान,1,0,0.0031,0.0031,0.0031,False,False Negative (Missed Hate),0.9969
harvard...,1,0,0.0032,0.003,0.0031,False,False Negative (Missed Hate),0.9969
reply fruity pebbles hello michael i see you got the fruity pebbles page going with mainly incessant teasing and complaining unfortunately now the comment regarding nick reynolds and his fruity pebbles fan club can not be added this is very sad perhaps you can kiss her butt and get it off eh you know sound makes sense preceding unsigned comment added by talk cont ribs,1,0,0.0039,0.0024,0.0031,False,False Negative (Missed Hate),0.9969
love you work,1,0,0.0031,0.0031,0.0031,False,False Negative (Missed Hate),0.9969
दिल्ली में आयुष्मान भारत योजना को रोक कर मुख्यमंत्री केजरीवाल ने दिल्ली की जनता के साथ बहुत बड़ा विश्वासघात किया है - श्री,1,0,0.0054,0.0007,0.0031,False,False Negative (Missed Hate),0.9969
good thinking,1,0,0.003,0.0032,0.0031,False,False Negative (Missed Hate),0.9969
"you are too prosiac, as well, grammar nazi. baat karni mujhe mushkil kabhi aisi toh na thi.",1,0,0.0033,0.003,0.0031,False,False Negative (Missed Hate),0.9969
राफ़ेल ख़रीदा तो गाजे बाजे के साथ स्वागत हुआ ।तमाम सरकारी सम्पत्ति बिक रही हैं तो उसका क्या जाना चाहिए,1,0,0.0032,0.0031,0.0032,False,False Negative (Missed Hate),0.9968
कितना खून बहाए गा हर बूंद का हिसाब होगा,1,0,0.0036,0.0027,0.0032,False,False Negative (Missed Hate),0.9968
chaarpai,1,0,0.0035,0.0028,0.0032,False,False Negative (Missed Hate),0.9968
assume there are the next part of the book yes the wrc by what little slut is in bite me,1,0,0.0044,0.002,0.0032,False,False Negative (Missed Hate),0.9968
regarding your threat to me please stop deliberately misconstruing policy i have studied it quite thoroughly after earlier disagreements i have had i consider your threats to me to be uncivil behavior,1,0,0.0043,0.0022,0.0033,False,False Negative (Missed Hate),0.9967
it is called welfare earl,1,0,0.003,0.0035,0.0033,False,False Negative (Missed Hate),0.9967
